temperature,humidity,wind_speed,solar_radiation,heat_index,wbgt,utci,vulnerability_score,population_density,hour,day_of_year,heat_exposure_duration,htsi
26.86,87.66,1.31,0.0,30.12,25.7,27.0,39.67,9200.0,6,103,0.0,36.78
30.33,85.06,7.9,6.45,40.3,28.85,29.04,81.59,9200.0,19,171,0.0,42.71
41.82,56.61,1.88,801.59,67.03,38.03,44.17,45.89,8500.0,14,140,4.0,68.11
36.87,55.95,2.92,819.81,48.6,33.07,38.68,65.55,3100.0,10,162,0.0,60.61
34.39,76.59,1.1,270.51,51.8,32.63,35.74,44.02,8500.0,7,128,0.0,54.37
27.34,84.39,0.69,23.65,31.03,25.93,27.74,73.71,3100.0,20,117,0.0,41.14
27.99,84.14,1.66,0.0,32.72,26.45,28.07,83.63,4200.0,6,92,0.0,43.57
28.58,91.61,2.38,39.84,35.98,27.86,28.75,42.22,9200.0,18,173,0.0,42.89
26.02,79.09,1.25,47.68,27.68,24.17,26.4,77.01,8500.0,22,159,0.0,38.02
36.93,53.9,2.64,829.75,47.66,32.94,38.9,47.19,9200.0,10,116,0.0,56.26
36.43,56.62,0.5,796.28,47.64,34.7,39.87,36.82,8500.0,10,91,0.0,59.51
28.82,90.25,3.1,0.0,36.52,27.89,28.65,37.63,4200.0,23,127,0.0,40.31
26.15,94.6,1.64,94.06,28.63,25.88,26.69,62.69,3100.0,20,92,0.0,40.32
27.79,91.66,1.11,0.0,33.36,27.01,27.99,78.79,4200.0,3,105,0.0,44.77
31.74,84.3,1.37,241.87,45.25,30.77,32.88,80.88,8500.0,7,129,0.0,54.07
29.17,86.74,2.15,28.91,36.84,27.94,29.32,66.83,8500.0,23,91,0.0,43.66
26.97,85.79,4.01,0.0,30.23,25.62,26.69,62.73,4900.0,2,170,0.0,36.25
29.54,83.52,2.31,0.0,37.19,27.91,29.48,64.36,9200.0,21,130,0.0,42.78
28.57,92.35,0.86,20.82,36.11,27.92,28.97,80.04,4200.0,20,101,0.0,47.14
26.68,92.56,2.24,30.75,30.06,26.06,26.87,39.74,3100.0,1,124,0.0,38.42
31.63,90.16,1.63,0.0,47.4,30.66,31.75,69.0,8500.0,23,154,0.0,50.98
41.95,56.98,3.12,875.64,67.94,37.95,43.66,81.46,4900.0,11,144,1.0,71.73
28.75,82.35,1.41,30.53,34.53,27.09,29.05,50.77,4200.0,5,134,0.0,40.13
28.8,78.19,3.08,0.0,33.82,26.64,28.58,41.55,9200.0,1,168,0.0,36.44
26.0,83.72,5.6,14.43,27.8,24.48,25.63,41.45,9200.0,20,179,0.0,32.61
27.38,77.94,5.2,0.0,30.37,25.24,26.87,70.54,4900.0,0,174,0.0,36.11
42.33,49.05,2.42,915.96,62.02,37.34,44.53,40.67,9200.0,11,151,1.0,66.16
28.68,92.0,1.85,0.0,36.45,27.93,28.76,67.05,9200.0,21,138,0.0,46.08
40.52,52.84,2.45,960.05,58.71,36.37,42.84,74.81,4900.0,11,114,1.0,69.81
32.69,71.53,1.35,442.03,43.14,30.8,34.42,74.62,9200.0,16,112,0.0,53.46
35.63,57.47,1.04,673.22,45.68,32.68,38.17,49.11,4200.0,9,113,0.0,54.55
36.8,64.03,1.55,688.21,53.3,34.29,39.09,62.75,9200.0,15,127,5.0,62.09
41.27,52.82,6.8,811.29,61.42,36.14,40.79,59.26,9200.0,14,117,4.0,63.08
37.47,52.53,2.66,828.27,48.48,33.23,39.41,74.48,4900.0,14,110,4.0,60.56
27.29,86.87,1.97,15.66,31.18,26.07,27.42,73.46,3100.0,18,143,0.0,40.09
41.18,47.76,1.88,948.04,56.98,36.41,43.83,76.12,4200.0,11,107,1.0,67.05
29.01,84.3,1.08,0.0,35.72,27.47,29.2,79.95,9200.0,22,125,0.0,45.2
26.0,82.76,1.0,0.0,27.77,24.37,26.16,81.16,4200.0,19,134,0.0,37.59
28.53,91.66,0.77,34.95,35.83,27.87,29.02,74.75,8500.0,2,162,0.0,47.78
27.56,77.44,1.56,0.0,30.71,25.36,27.64,62.67,4200.0,4,142,0.0,37.97
31.03,89.0,5.75,0.0,44.4,29.95,30.15,45.12,4900.0,18,119,0.0,45.29
30.09,85.19,0.5,0.0,39.5,28.62,30.43,77.61,8500.0,6,149,0.0,48.18
30.91,84.38,3.55,16.46,42.16,29.37,30.64,72.26,8500.0,20,121,0.0,46.14
34.3,68.78,2.51,525.5,47.19,31.86,35.71,69.44,3100.0,8,156,0.0,54.26
30.06,84.61,1.05,0.0,39.24,28.54,30.29,71.41,4200.0,6,156,0.0,45.66
29.1,75.7,2.02,284.91,34.09,27.27,30.12,72.59,3100.0,17,117,0.0,45.76
26.25,88.93,2.03,0.0,28.63,25.22,26.29,61.52,3100.0,3,133,0.0,38.46
42.65,51.28,2.07,977.46,65.26,38.26,45.25,66.77,8500.0,13,168,3.0,72.39
31.13,69.11,2.68,240.83,37.69,28.34,31.77,35.62,4900.0,17,130,0.0,41.89
33.27,72.83,6.11,465.48,45.63,30.92,33.28,80.54,3100.0,8,152,0.0,52.52
29.06,85.67,3.39,72.72,36.22,27.78,29.11,61.04,4200.0,20,112,0.0,42.87
31.34,83.07,2.68,0.0,43.23,29.63,31.18,70.45,9200.0,1,164,0.0,47.09
28.5,85.03,0.58,54.22,34.35,27.26,29.11,61.81,4900.0,19,137,0.0,42.92
36.38,58.26,1.41,850.67,48.37,33.64,39.16,36.33,8500.0,14,121,4.0,57.86
30.19,85.18,2.52,0.0,39.86,28.72,30.09,41.17,4200.0,6,146,0.0,42.86
39.68,50.24,1.09,887.62,53.89,35.92,42.8,68.26,8500.0,11,122,1.0,67.0
30.9,74.59,1.69,233.67,38.75,28.82,31.86,70.71,3100.0,7,113,0.0,46.25
37.75,46.6,2.02,769.89,46.03,32.71,39.87,65.63,4200.0,14,128,4.0,57.77
30.43,84.68,0.5,13.21,40.53,28.96,30.89,61.98,4200.0,2,123,0.0,46.48
43.21,49.42,1.7,965.89,65.6,38.65,46.05,40.42,8500.0,13,145,3.0,70.75
33.87,71.14,1.19,475.18,46.91,32.04,35.79,77.27,8500.0,16,117,0.0,56.58
29.84,77.72,1.49,0.0,36.56,27.59,29.94,35.56,9200.0,3,126,0.0,39.59
31.68,81.52,0.96,252.06,43.86,30.56,33.01,36.99,9200.0,17,96,0.0,47.48
29.85,80.13,3.49,222.06,37.23,28.21,30.28,47.7,8500.0,7,157,0.0,43.85
29.97,89.34,5.49,18.92,40.41,28.96,29.33,76.06,4900.0,3,126,0.0,44.02
27.43,88.76,2.46,12.97,31.82,26.39,27.47,68.83,9200.0,1,145,0.0,39.44
27.85,85.07,0.73,0.0,32.49,26.41,28.09,32.98,9200.0,5,154,0.0,38.15
29.29,85.91,1.72,0.0,37.01,27.91,29.37,72.85,3100.0,21,154,0.0,44.86
39.7,57.86,6.95,675.62,59.68,35.27,39.08,77.03,9200.0,9,136,0.0,60.85
27.02,80.63,2.37,0.0,29.84,25.15,26.97,63.32,4200.0,3,109,0.0,36.72
29.9,81.12,2.05,6.29,37.67,28.02,29.93,78.53,4900.0,21,108,0.0,45.58
28.78,74.78,0.64,233.71,33.11,27.13,30.09,69.05,4200.0,17,118,0.0,43.45
41.9,62.26,2.59,908.72,73.1,38.87,44.07,72.73,4900.0,11,163,1.0,74.23
30.37,78.04,0.96,10.9,38.22,28.17,30.68,60.16,3100.0,1,149,0.0,45.95
39.48,63.59,1.23,617.21,63.58,36.77,41.83,46.26,4200.0,9,107,0.0,65.02
26.8,86.08,2.55,0.0,29.83,25.49,26.76,73.41,3100.0,3,124,0.0,39.38
40.59,53.49,3.43,904.05,59.47,36.15,42.19,77.56,4900.0,13,132,3.0,68.41
36.26,64.65,2.14,782.8,51.72,33.81,38.45,38.12,4900.0,15,100,5.0,58.1
36.06,49.91,4.54,813.41,43.24,31.2,37.09,72.19,4200.0,14,138,4.0,55.95
33.84,86.0,3.62,279.05,55.1,32.83,34.28,74.77,8500.0,7,127,0.0,56.72
38.8,50.67,3.11,878.11,51.39,34.13,40.56,78.19,3100.0,13,153,3.0,61.99
28.61,78.47,1.63,39.24,33.4,26.58,28.89,48.39,4200.0,22,158,0.0,38.23
30.88,77.47,1.18,250.18,39.61,29.26,32.07,73.16,3100.0,7,97,0.0,50.45
30.24,87.83,3.95,0.0,40.89,29.04,29.82,40.27,3100.0,20,123,0.0,42.88
37.4,60.57,1.56,637.95,53.2,34.28,39.54,73.66,9200.0,15,137,5.0,62.32
40.46,53.52,2.17,900.54,59.03,36.41,42.83,40.03,4200.0,12,145,2.0,66.37
32.46,73.91,0.5,207.53,43.4,30.59,33.84,57.94,4900.0,17,165,0.0,50.29
39.06,56.64,0.79,899.19,56.37,36.78,42.53,73.42,9200.0,14,154,4.0,68.01
26.94,82.71,1.78,0.0,29.85,25.28,26.99,35.26,9200.0,20,120,0.0,33.84
28.97,90.39,0.79,47.21,37.08,28.22,29.53,81.43,4200.0,23,93,0.0,48.3
41.3,54.87,2.56,970.03,63.33,37.36,43.58,59.36,3100.0,12,139,2.0,70.47
33.6,68.37,1.75,535.94,44.67,31.37,35.39,67.9,4900.0,8,158,0.0,53.84
39.98,57.44,2.05,848.21,60.43,36.49,42.34,67.99,8500.0,14,119,4.0,67.66
42.6,44.66,0.93,903.31,59.15,37.9,45.94,48.15,3100.0,12,177,2.0,68.96
28.34,85.4,1.44,69.23,33.95,27.1,28.81,69.5,9200.0,0,148,0.0,43.3
27.73,82.97,1.91,0.0,31.85,26.08,27.76,78.34,4900.0,6,156,0.0,40.24
33.29,66.7,1.18,549.44,42.95,31.18,35.4,72.39,4900.0,8,164,0.0,54.05
29.5,85.84,1.02,49.12,37.68,28.25,30.0,44.97,4200.0,23,134,0.0,44.19
29.65,83.16,0.93,0.0,37.47,27.98,29.89,60.17,9200.0,0,93,0.0,43.8
40.43,49.62,3.8,878.54,55.91,35.31,41.74,47.51,4200.0,11,115,1.0,62.98
29.62,76.23,1.84,165.27,35.58,27.59,30.31,76.03,8500.0,7,116,0.0,45.26
28.51,88.76,4.56,6.16,35.16,27.45,28.11,63.56,4900.0,23,135,0.0,41.22
39.71,61.31,1.41,787.23,62.56,36.98,42.37,47.32,8500.0,10,153,0.0,66.05
26.0,85.52,1.27,0.0,27.87,24.64,26.13,45.18,4200.0,18,140,0.0,34.93
38.17,63.24,1.93,506.77,57.95,34.92,39.77,42.4,9200.0,16,139,6.0,59.94
30.56,71.64,3.53,256.62,36.9,28.04,31.02,44.78,4200.0,7,95,0.0,42.51
26.76,87.75,1.72,0.0,29.85,25.6,26.84,61.03,4900.0,2,148,0.0,38.52
26.0,88.83,1.07,8.12,27.99,24.99,26.23,71.46,3100.0,2,104,0.0,37.45
29.86,91.26,0.86,0.0,40.58,29.02,30.15,62.46,4200.0,0,119,0.0,47.16
26.79,82.02,1.34,0.0,29.44,25.07,26.91,59.6,4900.0,4,131,0.0,36.63
39.26,62.36,1.9,663.82,61.61,36.17,41.28,40.37,9200.0,9,126,0.0,63.44
